time,symbol,exchange,interval,open,high,low,close,volume
2026-01-16 13:35:00,NIFTY50,NSE,5m,23474.47,23592.07,23450.97,23536.67,898394
2026-01-16 13:30:00,NIFTY50,NSE,5m,23358.28,23379.4,23337.44,23371.35,1041001
2026-01-16 13:25:00,NIFTY50,NSE,5m,23300.08,23318.85,23254.45,23310.07,769131
2026-01-16 13:20:00,NIFTY50,NSE,5m,23268.0,23350.86,23261.7,23325.33,586359
2026-01-16 13:15:00,NIFTY50,NSE,5m,23218.27,23218.75,23092.7,23193.43,1403614
2026-01-16 13:10:00,NIFTY50,NSE,5m,23216.46,23244.35,23175.42,23239.32,905469
2026-01-16 13:05:00,NIFTY50,NSE,5m,23160.7,23181.86,23128.4,23171.85,650842
2026-01-16 13:00:00,NIFTY50,NSE,5m,23193.8,23225.14,23106.43,23140.37,799058
2026-01-16 12:55:00,NIFTY50,NSE,5m,22995.51,23076.2,22979.85,23073.07,920313
2026-01-16 12:50:00,NIFTY50,NSE,5m,23263.45,23337.34,23262.81,23289.06,1124581
2026-01-16 12:45:00,NIFTY50,NSE,5m,23283.15,23292.42,23275.39,23289.82,928122
2026-01-16 12:40:00,NIFTY50,NSE,5m,23126.42,23169.38,23092.3,23168.98,823998
2026-01-16 12:35:00,NIFTY50,NSE,5m,23293.45,23307.87,23230.67,23266.58,593189
2026-01-16 12:30:00,NIFTY50,NSE,5m,23137.77,23146.06,23097.29,23126.88,605234
2026-01-16 12:25:00,NIFTY50,NSE,5m,23212.05,23224.89,23128.38,23153.35,820742
2026-01-16 12:20:00,NIFTY50,NSE,5m,22960.04,23018.14,22862.45,22928.8,982240
2026-01-16 12:15:00,NIFTY50,NSE,5m,22774.81,22870.73,22649.79,22778.82,1524572
2026-01-16 12:10:00,NIFTY50,NSE,5m,22798.35,22821.34,22792.87,22803.52,1791452
2026-01-16 12:05:00,NIFTY50,NSE,5m,22956.82,22964.02,22879.5,22890.0,1110128
2026-01-16 12:00:00,NIFTY50,NSE,5m,22868.83,22918.03,22810.38,22911.9,1167020
2026-01-16 11:55:00,NIFTY50,NSE,5m,22863.55,22915.39,22857.85,22900.95,726867
2026-01-16 11:50:00,NIFTY50,NSE,5m,22858.2,22965.13,22837.14,22868.76,1206269
2026-01-16 11:45:00,NIFTY50,NSE,5m,22723.09,22734.61,22694.82,22701.99,1167587
2026-01-16 11:40:00,NIFTY50,NSE,5m,22668.91,22741.19,22566.68,22622.55,1287266
2026-01-16 11:35:00,NIFTY50,NSE,5m,22542.09,22594.39,22525.07,22572.7,1279380
2026-01-16 11:30:00,NIFTY50,NSE,5m,22718.88,22727.49,22647.41,22694.27,1469170
2026-01-16 11:25:00,NIFTY50,NSE,5m,22718.44,22746.05,22709.32,22735.53,1269263
2026-01-16 11:20:00,NIFTY50,NSE,5m,22529.87,22588.33,22506.99,22537.39,776834
2026-01-16 11:15:00,NIFTY50,NSE,5m,22556.07,22641.34,22554.36,22576.16,618576
2026-01-16 11:10:00,NIFTY50,NSE,5m,22532.79,22591.17,22521.7,22534.95,1081250
2026-01-16 11:05:00,NIFTY50,NSE,5m,22407.36,22483.85,22403.77,22460.93,551195
2026-01-16 11:00:00,NIFTY50,NSE,5m,22555.98,22575.11,22473.95,22531.87,812325
2026-01-16 10:55:00,NIFTY50,NSE,5m,22657.45,22676.43,22644.45,22650.28,972308
2026-01-16 10:50:00,NIFTY50,NSE,5m,22754.42,22828.85,22735.71,22758.01,1164296
2026-01-16 10:45:00,NIFTY50,NSE,5m,22658.66,22683.36,22648.61,22664.79,1037923
2026-01-16 10:40:00,NIFTY50,NSE,5m,22549.58,22685.32,22547.23,22632.02,1293421
2026-01-16 10:35:00,NIFTY50,NSE,5m,22691.9,22704.54,22666.7,22671.77,390099
2026-01-16 10:30:00,NIFTY50,NSE,5m,22839.14,22880.88,22748.63,22784.62,999428
2026-01-16 10:25:00,NIFTY50,NSE,5m,22767.0,22804.72,22731.43,22732.31,1122018
2026-01-16 10:20:00,NIFTY50,NSE,5m,22737.9,22757.18,22707.36,22713.48,964447
2026-01-16 10:15:00,NIFTY50,NSE,5m,22611.93,22625.84,22588.57,22590.11,1230500
2026-01-16 10:10:00,NIFTY50,NSE,5m,22444.07,22485.3,22318.04,22457.26,1038595
2026-01-16 10:05:00,NIFTY50,NSE,5m,22531.93,22556.99,22501.75,22550.74,950463
2026-01-16 10:00:00,NIFTY50,NSE,5m,22687.62,22743.45,22679.36,22705.91,888932
2026-01-16 09:55:00,NIFTY50,NSE,5m,22710.09,22724.29,22686.62,22700.01,1355276
2026-01-16 09:50:00,NIFTY50,NSE,5m,22799.47,22843.1,22786.01,22816.18,620569
2026-01-16 09:45:00,NIFTY50,NSE,5m,22848.27,22890.44,22842.15,22859.72,1078353
2026-01-16 09:40:00,NIFTY50,NSE,5m,22788.12,22834.9,22779.15,22788.27,691249
2026-01-16 09:35:00,NIFTY50,NSE,5m,22804.17,22878.73,22795.34,22831.72,1408202
2026-01-16 09:30:00,NIFTY50,NSE,5m,23010.7,23010.81,23008.53,23009.59,1221253
2026-01-16 09:25:00,NIFTY50,NSE,5m,23092.86,23114.54,22971.75,23007.77,100000
2026-01-16 09:20:00,NIFTY50,NSE,5m,23212.2,23228.0,23134.0,23190.06,989870
2026-01-16 09:15:00,NIFTY50,NSE,5m,22903.93,22966.01,22843.83,22888.62,548409
2026-01-19 15:25:00,NIFTY50,NSE,5m,22989.35,23004.22,22981.9,22984.97,1436396
2026-01-19 15:20:00,NIFTY50,NSE,5m,23007.94,23009.49,22978.88,22997.27,734649
2026-01-19 15:15:00,NIFTY50,NSE,5m,22882.19,22989.1,22878.29,22965.19,884294
2026-01-19 15:10:00,NIFTY50,NSE,5m,22950.19,23000.37,22888.44,22978.02,774730
2026-01-19 15:05:00,NIFTY50,NSE,5m,22772.64,22844.98,22747.46,22751.97,1112953
2026-01-19 15:00:00,NIFTY50,NSE,5m,22720.88,22741.2,22656.71,22729.25,1198675
2026-01-19 14:55:00,NIFTY50,NSE,5m,22804.4,22814.48,22769.52,22772.11,899098
2026-01-19 14:50:00,NIFTY50,NSE,5m,22879.95,22977.37,22854.84,22942.66,893463
2026-01-19 14:45:00,NIFTY50,NSE,5m,22894.89,22904.49,22869.87,22885.51,1260157
2026-01-19 14:40:00,NIFTY50,NSE,5m,22787.77,22823.89,22782.54,22795.28,991359
2026-01-19 14:35:00,NIFTY50,NSE,5m,22759.21,22800.79,22709.43,22740.37,940345
2026-01-19 14:30:00,NIFTY50,NSE,5m,22858.16,22888.93,22798.72,22846.73,886494
2026-01-19 14:25:00,NIFTY50,NSE,5m,22886.94,22893.22,22884.25,22886.57,1446940
2026-01-19 14:20:00,NIFTY50,NSE,5m,22814.66,22849.62,22793.59,22828.23,1074336
2026-01-19 14:15:00,NIFTY50,NSE,5m,22956.9,22962.41,22880.01,22889.1,735431
2026-01-19 14:10:00,NIFTY50,NSE,5m,22914.44,22955.93,22878.18,22902.5,756291
2026-01-19 14:05:00,NIFTY50,NSE,5m,23006.6,23028.92,23002.09,23015.71,1117889
2026-01-19 14:00:00,NIFTY50,NSE,5m,22968.65,23057.63,22820.29,22937.22,1033080
2026-01-19 13:55:00,NIFTY50,NSE,5m,22876.39,22930.19,22872.78,22901.94,1017077
2026-01-19 13:50:00,NIFTY50,NSE,5m,22827.27,22899.14,22815.95,22859.33,917193
2026-01-19 13:45:00,NIFTY50,NSE,5m,22669.06,22706.54,22646.84,22694.34,751325
2026-01-19 13:40:00,NIFTY50,NSE,5m,22686.23,22733.66,22653.62,22730.21,839727
2026-01-19 13:35:00,NIFTY50,NSE,5m,22764.81,22769.02,22760.12,22762.15,1377123
2026-01-19 13:30:00,NIFTY50,NSE,5m,22767.71,22821.67,22754.41,22765.01,1260598
2026-01-19 13:25:00,NIFTY50,NSE,5m,22814.43,22817.15,22726.25,22740.59,928554
2026-01-19 13:20:00,NIFTY50,NSE,5m,22548.32,22612.7,22538.22,22581.93,1133531
2026-01-19 13:15:00,NIFTY50,NSE,5m,22567.05,22572.7,22482.33,22536.69,1182752
2026-01-19 13:10:00,NIFTY50,NSE,5m,22493.48,22538.68,22478.93,22500.33,872583
2026-01-19 13:05:00,NIFTY50,NSE,5m,22415.96,22434.73,22403.31,22412.32,873185
2026-01-19 13:00:00,NIFTY50,NSE,5m,22371.5,22406.68,22368.0,22396.49,696091
2026-01-19 12:55:00,NIFTY50,NSE,5m,22453.11,22519.71,22443.74,22443.97,802775
2026-01-19 12:50:00,NIFTY50,NSE,5m,22705.49,22734.4,22607.13,22657.88,870400
2026-01-19 12:45:00,NIFTY50,NSE,5m,22629.53,22697.07,22617.48,22679.93,564835
2026-01-19 12:40:00,NIFTY50,NSE,5m,22682.84,22740.68,22669.24,22711.4,756423
2026-01-19 12:35:00,NIFTY50,NSE,5m,22716.94,22717.68,22664.53,22705.22,1091031
2026-01-19 12:30:00,NIFTY50,NSE,5m,22478.02,22512.97,22430.05,22489.66,1033797
2026-01-19 12:25:00,NIFTY50,NSE,5m,22518.44,22527.45,22469.97,22488.93,660687
2026-01-19 12:20:00,NIFTY50,NSE,5m,22542.9,22558.74,22439.78,22497.95,1029374
2026-01-19 12:15:00,NIFTY50,NSE,5m,22786.63,22818.24,22737.87,22777.29,1242987
2026-01-19 12:10:00,NIFTY50,NSE,5m,22765.94,22778.02,22734.84,22757.66,977503
2026-01-19 12:05:00,NIFTY50,NSE,5m,22772.48,22833.34,22771.36,22794.25,697825
2026-01-19 12:00:00,NIFTY50,NSE,5m,22785.54,22842.56,22692.68,22792.57,1290864
2026-01-19 11:55:00,NIFTY50,NSE,5m,22677.38,22683.03,22645.01,22661.66,917383
2026-01-19 11:50:00,NIFTY50,NSE,5m,22792.52,22793.56,22737.35,22793.42,912820
2026-01-19 11:45:00,NIFTY50,NSE,5m,22902.07,22908.58,22817.66,22881.4,1385013
2026-01-19 11:40:00,NIFTY50,NSE,5m,22962.74,22977.99,22940.72,22974.18,622280
2026-01-19 11:35:00,NIFTY50,NSE,5m,22841.33,22908.02,22825.19,22872.02,878968
2026-01-19 11:30:00,NIFTY50,NSE,5m,23029.43,23045.8,22977.0,23034.73,724853
2026-01-19 11:25:00,NIFTY50,NSE,5m,22861.31,22906.22,22827.14,22875.58,1059439
2026-01-19 11:20:00,NIFTY50,NSE,5m,22925.53,22947.35,22921.9,22944.99,1156911
2026-01-19 11:15:00,NIFTY50,NSE,5m,23199.4,23204.52,23161.43,23198.58,882345
2026-01-19 11:10:00,NIFTY50,NSE,5m,23104.94,23116.28,23075.12,23086.01,1310141
2026-01-19 11:05:00,NIFTY50,NSE,5m,23040.18,23054.66,22989.47,23022.95,151165
2026-01-19 11:00:00,NIFTY50,NSE,5m,22994.25,23083.18,22940.62,23036.72,1131720
2026-01-19 10:55:00,NIFTY50,NSE,5m,23023.96,23084.21,22957.56,22981.03,1342258
2026-01-19 10:50:00,NIFTY50,NSE,5m,22791.08,22859.79,22764.69,22805.15,1043472
2026-01-19 10:45:00,NIFTY50,NSE,5m,22733.33,22828.07,22730.47,22815.25,1291241
2026-01-19 10:40:00,NIFTY50,NSE,5m,22651.79,22705.09,22587.76,22696.35,799374
2026-01-19 10:35:00,NIFTY50,NSE,5m,22715.08,22762.58,22712.43,22752.36,278635
2026-01-19 10:30:00,NIFTY50,NSE,5m,22551.15,22682.27,22509.03,22650.04,787928
2026-01-19 10:25:00,NIFTY50,NSE,5m,22829.04,22851.65,22819.97,22827.84,591983
2026-01-19 10:20:00,NIFTY50,NSE,5m,22742.19,22774.05,22682.77,22740.72,906595
2026-01-19 10:15:00,NIFTY50,NSE,5m,22760.86,22762.13,22698.51,22706.37,902001
2026-01-19 10:10:00,NIFTY50,NSE,5m,22768.34,22873.89,22767.55,22801.0,833366
2026-01-19 10:05:00,NIFTY50,NSE,5m,22662.79,22663.95,22627.27,22662.96,1038861
2026-01-19 10:00:00,NIFTY50,NSE,5m,22776.17,22786.52,22598.32,22691.0,857745
2026-01-19 09:55:00,NIFTY50,NSE,5m,22807.03,22850.22,22768.75,22841.57,936903
2026-01-19 09:50:00,NIFTY50,NSE,5m,22661.1,22763.47,22604.32,22660.27,1004194
2026-01-19 09:45:00,NIFTY50,NSE,5m,22688.09,22740.71,22661.18,22683.45,1296596
2026-01-19 09:40:00,NIFTY50,NSE,5m,22746.55,22748.41,22690.74,22715.2,1069745
2026-01-19 09:35:00,NIFTY50,NSE,5m,22800.28,22847.38,22784.86,22806.27,1008960
2026-01-19 09:30:00,NIFTY50,NSE,5m,22708.91,22766.56,22636.36,22667.49,737861
2026-01-19 09:25:00,NIFTY50,NSE,5m,22515.8,22563.46,22482.18,22520.1,1039836
2026-01-19 09:20:00,NIFTY50,NSE,5m,22617.72,22618.52,22532.75,22581.13,995594
2026-01-19 09:15:00,NIFTY50,NSE,5m,22682.45,22698.41,22586.87,22616.92,428118
2026-01-20 15:25:00,NIFTY50,NSE,5m,22641.56,22680.53,22631.6,22647.51,902280
2026-01-20 15:20:00,NIFTY50,NSE,5m,22720.26,22722.61,22683.13,22689.0,404300
2026-01-20 15:15:00,NIFTY50,NSE,5m,22616.74,22620.39,22594.95,22614.12,618886
2026-01-20 15:10:00,NIFTY50,NSE,5m,22653.56,22662.52,22556.51,22642.65,625033
2026-01-20 15:05:00,NIFTY50,NSE,5m,22678.65,22679.51,22605.18,22678.09,792140
2026-01-20 15:00:00,NIFTY50,NSE,5m,22583.08,22601.82,22579.6,22599.36,512265
2026-01-20 14:55:00,NIFTY50,NSE,5m,22812.74,22840.25,22741.48,22812.44,1463109
2026-01-20 14:50:00,NIFTY50,NSE,5m,22798.67,22872.68,22789.08,22868.77,1616346
2026-01-20 14:45:00,NIFTY50,NSE,5m,22700.33,22738.68,22686.22,22734.84,1025929
2026-01-20 14:40:00,NIFTY50,NSE,5m,22809.54,22831.1,22789.3,22811.75,1012337
2026-01-20 14:35:00,NIFTY50,NSE,5m,22700.94,22706.7,22670.46,22702.86,1188086
2026-01-20 14:30:00,NIFTY50,NSE,5m,22787.35,22807.1,22773.86,22794.47,637235
2026-01-20 14:25:00,NIFTY50,NSE,5m,22918.55,22934.08,22912.94,22928.8,1093933
2026-01-20 14:20:00,NIFTY50,NSE,5m,22802.54,22842.94,22800.18,22837.01,819846
2026-01-20 14:15:00,NIFTY50,NSE,5m,22981.96,22984.49,22946.17,22949.29,1211838
2026-01-20 14:10:00,NIFTY50,NSE,5m,23051.33,23053.73,22976.72,22998.95,1318358
2026-01-20 14:05:00,NIFTY50,NSE,5m,23100.85,23114.27,23086.47,23095.79,1022625
2026-01-20 14:00:00,NIFTY50,NSE,5m,23334.24,23364.93,23305.63,23317.14,701410
2026-01-20 13:55:00,NIFTY50,NSE,5m,23289.39,23292.72,23225.45,23290.86,629915
2026-01-20 13:50:00,NIFTY50,NSE,5m,23207.38,23293.52,23170.65,23205.41,1464802
2026-01-20 13:45:00,NIFTY50,NSE,5m,23165.47,23168.32,23084.37,23104.52,902451
2026-01-20 13:40:00,NIFTY50,NSE,5m,22988.51,23055.72,22982.66,23012.59,1183112
2026-01-20 13:35:00,NIFTY50,NSE,5m,23006.49,23018.62,23005.36,23006.02,1176550
2026-01-20 13:30:00,NIFTY50,NSE,5m,23068.25,23078.3,23032.03,23047.56,1041374
2026-01-20 13:25:00,NIFTY50,NSE,5m,23080.68,23099.88,23060.81,23081.75,1174804
2026-01-20 13:20:00,NIFTY50,NSE,5m,23167.7,23200.42,23158.91,23179.53,832574
2026-01-20 13:15:00,NIFTY50,NSE,5m,23161.91,23209.97,23158.48,23183.35,872530
2026-01-20 13:10:00,NIFTY50,NSE,5m,23397.84,23403.58,23345.21,23354.16,1359559
2026-01-20 13:05:00,NIFTY50,NSE,5m,23326.21,23331.39,23315.73,23325.59,969360
2026-01-20 13:00:00,NIFTY50,NSE,5m,23671.58,23691.98,23587.37,23645.17,1125913
2026-01-20 12:55:00,NIFTY50,NSE,5m,23744.34,23762.75,23720.99,23721.5,649704
2026-01-20 12:50:00,NIFTY50,NSE,5m,23578.82,23622.64,23530.99,23622.21,797712
2026-01-20 12:45:00,NIFTY50,NSE,5m,23501.2,23502.41,23497.34,23498.09,735572
2026-01-20 12:40:00,NIFTY50,NSE,5m,23575.52,23623.28,23510.39,23557.13,833891
2026-01-20 12:35:00,NIFTY50,NSE,5m,23532.57,23552.67,23486.32,23533.16,381867
2026-01-20 12:30:00,NIFTY50,NSE,5m,23546.86,23671.06,23546.13,23619.53,401475
2026-01-20 12:25:00,NIFTY50,NSE,5m,23685.61,23688.13,23656.64,23677.78,763757
2026-01-20 12:20:00,NIFTY50,NSE,5m,23730.97,23737.54,23624.57,23671.52,1053721
2026-01-20 12:15:00,NIFTY50,NSE,5m,23581.97,23591.06,23563.58,23573.67,759427
2026-01-20 12:10:00,NIFTY50,NSE,5m,23424.67,23512.35,23386.8,23397.47,1431647
2026-01-20 12:05:00,NIFTY50,NSE,5m,23379.63,23395.64,23331.84,23347.57,824228
2026-01-20 12:00:00,NIFTY50,NSE,5m,23454.22,23466.24,23437.51,23449.88,953335
2026-01-20 11:55:00,NIFTY50,NSE,5m,23493.64,23589.16,23438.49,23477.33,1031577
2026-01-20 11:50:00,NIFTY50,NSE,5m,23330.04,23398.23,23299.64,23333.44,1018346
2026-01-20 11:45:00,NIFTY50,NSE,5m,23342.44,23372.82,23332.43,23355.98,746701
2026-01-20 11:40:00,NIFTY50,NSE,5m,23424.73,23433.38,23401.88,23403.32,301167
2026-01-20 11:35:00,NIFTY50,NSE,5m,23285.02,23312.71,23258.94,23302.23,1396225
2026-01-20 11:30:00,NIFTY50,NSE,5m,23321.59,23330.37,23301.77,23322.47,858017
2026-01-20 11:25:00,NIFTY50,NSE,5m,23352.46,23415.94,23307.97,23331.59,1119569
2026-01-20 11:20:00,NIFTY50,NSE,5m,23146.26,23240.93,23097.93,23200.59,1117492
2026-01-20 11:15:00,NIFTY50,NSE,5m,23209.5,23252.78,23205.46,23244.41,1474439
2026-01-20 11:10:00,NIFTY50,NSE,5m,23324.7,23326.35,23310.66,23311.91,1436898
2026-01-20 11:05:00,NIFTY50,NSE,5m,23458.34,23468.6,23367.41,23440.48,1092951
2026-01-20 11:00:00,NIFTY50,NSE,5m,23556.37,23597.49,23547.44,23566.33,1244729
2026-01-20 10:55:00,NIFTY50,NSE,5m,23359.86,23428.21,23336.94,23406.36,755349
2026-01-20 10:50:00,NIFTY50,NSE,5m,23291.28,23317.62,23270.43,23298.94,482297
2026-01-20 10:45:00,NIFTY50,NSE,5m,23409.69,23419.79,23324.87,23361.27,770481
2026-01-20 10:40:00,NIFTY50,NSE,5m,23403.94,23478.41,23392.78,23423.62,1138736
2026-01-20 10:35:00,NIFTY50,NSE,5m,23479.53,23537.58,23460.55,23486.29,1108307
2026-01-20 10:30:00,NIFTY50,NSE,5m,23957.36,23987.42,23923.78,23941.07,516649
2026-01-20 10:25:00,NIFTY50,NSE,5m,24057.05,24069.41,23978.23,24011.8,1333953
2026-01-20 10:20:00,NIFTY50,NSE,5m,24127.06,24203.33,24121.08,24150.53,376110
2026-01-20 10:15:00,NIFTY50,NSE,5m,24278.88,24299.26,24236.16,24268.15,1083098
2026-01-20 10:10:00,NIFTY50,NSE,5m,24347.3,24415.72,24309.55,24349.62,1367314
2026-01-20 10:05:00,NIFTY50,NSE,5m,24311.49,24343.09,24269.4,24313.67,793919
2026-01-20 10:00:00,NIFTY50,NSE,5m,24460.55,24476.35,24389.57,24408.36,439599
2026-01-20 09:55:00,NIFTY50,NSE,5m,24306.56,24320.36,24279.58,24316.49,1229343
2026-01-20 09:50:00,NIFTY50,NSE,5m,24301.83,24337.76,24276.33,24290.13,1077272
2026-01-20 09:45:00,NIFTY50,NSE,5m,24203.3,24239.86,24192.33,24233.61,1292153
2026-01-20 09:40:00,NIFTY50,NSE,5m,24165.0,24282.17,24153.46,24245.95,569172
2026-01-20 09:35:00,NIFTY50,NSE,5m,24559.47,24561.2,24516.21,24528.98,945945
2026-01-20 09:30:00,NIFTY50,NSE,5m,24319.06,24369.09,24254.58,24302.42,864618
2026-01-20 09:25:00,NIFTY50,NSE,5m,24408.11,24441.13,24377.99,24388.24,517143
2026-01-20 09:20:00,NIFTY50,NSE,5m,24116.69,24227.77,24106.18,24194.03,1161092
2026-01-20 09:15:00,NIFTY50,NSE,5m,24151.67,24151.72,24081.74,24139.36,698343
2026-01-21 15:25:00,NIFTY50,NSE,5m,24276.41,24320.6,24258.78,24273.2,909738
2026-01-21 15:20:00,NIFTY50,NSE,5m,24252.12,24300.29,24246.0,24283.43,1100961
2026-01-21 15:15:00,NIFTY50,NSE,5m,24159.02,24199.2,24142.83,24155.0,638818
2026-01-21 15:10:00,NIFTY50,NSE,5m,24085.86,24086.89,23990.4,24071.03,952428
2026-01-21 15:05:00,NIFTY50,NSE,5m,24142.17,24178.75,24125.27,24155.23,100000
2026-01-21 15:00:00,NIFTY50,NSE,5m,24096.06,24098.98,24051.36,24069.43,1122387
2026-01-21 14:55:00,NIFTY50,NSE,5m,24060.28,24115.0,24036.44,24097.89,1059324
2026-01-21 14:50:00,NIFTY50,NSE,5m,24119.33,24184.47,24062.16,24105.79,811454
2026-01-21 14:45:00,NIFTY50,NSE,5m,24001.73,24043.73,23996.51,24029.66,1012532
2026-01-21 14:40:00,NIFTY50,NSE,5m,24252.43,24298.9,24216.91,24289.66,1192797
2026-01-21 14:35:00,NIFTY50,NSE,5m,24320.22,24408.27,24279.46,24369.08,755584
2026-01-21 14:30:00,NIFTY50,NSE,5m,24134.72,24177.65,24121.48,24124.76,952888
2026-01-21 14:25:00,NIFTY50,NSE,5m,24235.38,24239.18,24128.11,24149.66,1005724
2026-01-21 14:20:00,NIFTY50,NSE,5m,24056.42,24101.47,24045.34,24072.17,1197909
2026-01-21 14:15:00,NIFTY50,NSE,5m,24151.55,24229.07,24143.97,24177.17,954654
2026-01-21 14:10:00,NIFTY50,NSE,5m,24120.36,24124.36,24082.67,24083.79,880005
2026-01-21 14:05:00,NIFTY50,NSE,5m,24118.73,24121.98,24020.47,24072.38,1113127
2026-01-21 14:00:00,NIFTY50,NSE,5m,24131.89,24199.8,24030.43,24135.57,1327630
2026-01-21 13:55:00,NIFTY50,NSE,5m,24279.73,24314.05,24220.33,24242.46,924831
2026-01-21 13:50:00,NIFTY50,NSE,5m,24126.12,24190.62,24084.38,24099.39,1091669
2026-01-21 13:45:00,NIFTY50,NSE,5m,24066.32,24121.83,24061.3,24061.5,1177743
2026-01-21 13:40:00,NIFTY50,NSE,5m,24061.75,24080.3,23951.53,24006.76,599751
2026-01-21 13:35:00,NIFTY50,NSE,5m,23913.72,23944.32,23902.66,23930.74,797675
2026-01-21 13:30:00,NIFTY50,NSE,5m,24134.28,24178.64,24113.25,24144.38,1205112
2026-01-21 13:25:00,NIFTY50,NSE,5m,24173.76,24198.26,24148.27,24195.68,881136
2026-01-21 13:20:00,NIFTY50,NSE,5m,24086.67,24090.09,24041.18,24045.56,948776
2026-01-21 13:15:00,NIFTY50,NSE,5m,24125.19,24274.58,24087.94,24158.32,873521
2026-01-21 13:10:00,NIFTY50,NSE,5m,24406.02,24422.3,24400.22,24417.07,1125571
2026-01-21 13:05:00,NIFTY50,NSE,5m,24559.99,24563.21,24417.71,24545.56,842362
2026-01-21 13:00:00,NIFTY50,NSE,5m,24348.26,24390.88,24330.7,24361.55,875447
2026-01-21 12:55:00,NIFTY50,NSE,5m,24321.4,24359.75,24294.54,24305.0,1229965
2026-01-21 12:50:00,NIFTY50,NSE,5m,24444.57,24477.05,24392.56,24461.39,969532
2026-01-21 12:45:00,NIFTY50,NSE,5m,24368.69,24400.8,24312.05,24377.29,1302274
2026-01-21 12:40:00,NIFTY50,NSE,5m,24439.17,24464.54,24420.26,24433.82,406238
2026-01-21 12:35:00,NIFTY50,NSE,5m,24534.58,24544.09,24530.3,24530.9,1476198
2026-01-21 12:30:00,NIFTY50,NSE,5m,24425.33,24434.0,24407.48,24419.66,1025787
2026-01-21 12:25:00,NIFTY50,NSE,5m,24401.35,24443.51,24388.85,24414.84,1115641
2026-01-21 12:20:00,NIFTY50,NSE,5m,23981.75,24029.76,23942.97,24021.6,1185906
2026-01-21 12:15:00,NIFTY50,NSE,5m,23995.85,24002.83,23844.36,23900.97,1310847
2026-01-21 12:10:00,NIFTY50,NSE,5m,23980.1,23987.02,23837.6,23873.17,587833
2026-01-21 12:05:00,NIFTY50,NSE,5m,23712.89,23772.52,23659.84,23726.62,637422
2026-01-21 12:00:00,NIFTY50,NSE,5m,23866.57,23943.26,23861.61,23922.65,1362398
2026-01-21 11:55:00,NIFTY50,NSE,5m,23829.38,23860.67,23678.85,23753.98,877999
2026-01-21 11:50:00,NIFTY50,NSE,5m,23707.15,23711.93,23638.57,23704.09,1088668
2026-01-21 11:45:00,NIFTY50,NSE,5m,23712.58,23735.67,23692.05,23721.96,472583
2026-01-21 11:40:00,NIFTY50,NSE,5m,23904.87,23906.13,23888.5,23895.28,1539775
2026-01-21 11:35:00,NIFTY50,NSE,5m,23746.92,23766.87,23714.15,23726.11,1201610
2026-01-21 11:30:00,NIFTY50,NSE,5m,23855.5,23890.56,23836.57,23866.47,1184233
2026-01-21 11:25:00,NIFTY50,NSE,5m,23950.63,23977.72,23838.18,23870.08,765618
2026-01-21 11:20:00,NIFTY50,NSE,5m,23761.44,23796.01,23726.27,23755.33,885035
2026-01-21 11:15:00,NIFTY50,NSE,5m,23829.24,23838.39,23802.13,23812.59,806597
